MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1333780	Rps19	ribosomal protein S19	7		erythrocyte differentiation			ISO	P39019 	J:164563 	
MGI:1333780	Rps19	ribosomal protein S19	7		erythrocyte differentiation			ISS	P39019 	J:342587 	
MGI:1100878	Selenow	selenoprotein W	7		erythrocyte differentiation			IMP		J:301961 	
MGI:2445054	Senp1	SUMO1/sentrin specific peptidase 1	15		regulation of definitive erythrocyte differentiation	regulates definitive erythrocyte differentiation		IMP	MGI:3818522 	J:141453 	
MGI:2446244	Setd1a	SET domain containing 1A	7		regulation of erythrocyte differentiation			IMP		J:237693 	
MGI:2137677	Sfxn1	sideroflexin 1	13		erythrocyte differentiation			IMP	MGI:1856864 	J:68377 	
MGI:893598	Sh2b3	SH2B adaptor protein 3	5		erythrocyte development			IEA	ENSP00000345492 Q9UQQ2 	J:342605 	
MGI:893598	Sh2b3	SH2B adaptor protein 3	5		erythrocyte development			ISO	Q9UQQ2 	J:164563 	
MGI:105305	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5	7		erythrocyte differentiation			ISO	Q15758 	J:164563 	
MGI:109393	Slc4a1	solute carrier family 4 (anion exchanger), member 1	11		erythrocyte development			IMP	MGI:3834176 	J:145243 	
MGI:1345279	Slc11a2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	15		erythrocyte development			IMP	MGI:3577914 	J:98088 	
MGI:1353496	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	X		erythrocyte differentiation			IMP		J:234617 	
MGI:2384782	Slc25a38	solute carrier family 25, member 38	9		erythrocyte differentiation			ISO	Q96DW6 	J:164563 	
MGI:2384782	Slc25a38	solute carrier family 25, member 38	9		erythrocyte differentiation			ISS	Q96DW6 	J:342587 	
MGI:2442486	Slc25a40	solute carrier family 25, member 40	5		erythrocyte development			IMP		J:319863 	
MGI:1914989	Slc48a1	solute carrier family 48 (heme transporter), member 1	15		erythrocyte differentiation	happens in bone marrow		IMP	MGI:6711492 	J:282829 	
MGI:1328787	Smad5	SMAD family member 5	13		erythrocyte differentiation			IMP		J:98445 	
MGI:2138261	Smap1	small ArfGAP 1	1		positive regulation of erythrocyte differentiation			IDA		J:79308 	
MGI:88192	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	9		definitive erythrocyte differentiation	results in the differentiation of primitive red blood cell		IMP	MGI:3611933 	J:103896 	
MGI:88192	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	9		primitive erythrocyte differentiation	results in the differentiation of primitive red blood cell		IMP	MGI:3611933 	J:103896 	
MGI:98368	Sox6	SRY (sex determining region Y)-box 6	7		erythrocyte development	happens in liver		IMP	MGI:2681117 	J:115753 	
MGI:98368	Sox6	SRY (sex determining region Y)-box 6	7		erythrocyte differentiation			IMP	MGI:2447148 	J:163754 	
MGI:98368	Sox6	SRY (sex determining region Y)-box 6	7		erythrocyte differentiation			IMP	MGI:3641204 	J:163754 	
MGI:98372	Sp1	trans-acting transcription factor 1	15		enucleate erythrocyte differentiation	happens in blood,results in the differentiation of erythrocyte		IGI	MGI:1277166 	J:123073 	
MGI:1277166	Sp3	trans-acting transcription factor 3	2		enucleate erythrocyte differentiation	happens in blood,results in the differentiation of erythrocyte		IGI	MGI:98372 	J:123073 	
MGI:1277166	Sp3	trans-acting transcription factor 3	2		erythrocyte differentiation			IMP	MGI:2182438 	J:84837 	
MGI:98282	Spi1	Spi-1 proto-oncogene	2		erythrocyte differentiation			IMP	MGI:1930970 	J:39856 	
MGI:98282	Spi1	Spi-1 proto-oncogene	2		regulation of erythrocyte differentiation			ISO	P17947 	J:164563 	
MGI:106658	Srf	serum response factor	17		erythrocyte development			IMP	MGI:2176073 MGI:3046779 	J:166639 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		positive regulation of erythrocyte differentiation			ISO	P42224 	J:164563 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		positive regulation of erythrocyte differentiation			ISS	P42224 	J:342587 	
MGI:103038	Stat3	signal transducer and activator of transcription 3	11		positive regulation of erythrocyte differentiation			ISO	P40763 	J:164563 	
MGI:103038	Stat3	signal transducer and activator of transcription 3	11		positive regulation of erythrocyte differentiation			ISS	P40763 	J:342587 	
MGI:103036	Stat5a	signal transducer and activator of transcription 5A	11		erythrocyte differentiation	results in the differentiation of erythrocyte		IGI	MGI:103035 	J:53400 	
MGI:103036	Stat5a	signal transducer and activator of transcription 5A	11		negative regulation of erythrocyte differentiation	happens in spleen,negatively regulates erythrocyte differentiation		IGI	MGI:103035 	J:53400 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		erythrocyte differentiation	results in the differentiation of erythrocyte		IGI	MGI:103036 	J:53400 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		negative regulation of erythrocyte differentiation	happens in spleen,negatively regulates erythrocyte differentiation		IGI	MGI:103036 	J:53400 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		positive regulation of erythrocyte differentiation			ISO	P51692 	J:164563 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		positive regulation of erythrocyte differentiation			ISS	P51692 	J:342587 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte differentiation			IDA		J:72727 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte differentiation	results in the differentiation of erythrocyte		IDA		J:92783 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte differentiation			IMP	MGI:1857254 	J:72727 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte differentiation			ISO	P17542 	J:164563 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte differentiation			TAS		J:110595 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		erythrocyte maturation	happens in spleen,results in the maturation of erythrocyte,results in the maturation of erythrocyte,happens in blood,results in the maturation of erythrocyte		IMP	MGI:3808120 	J:139179 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		positive regulation of erythrocyte differentiation			IDA		J:150066 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		positive regulation of erythrocyte differentiation			ISO	P17542 	J:164563 	
MGI:1196624	Tcea1	transcription elongation factor A (SII) 1	1		erythrocyte differentiation			IMP	MGI:3622786 	J:107421 	
MGI:98510	Tcf3	transcription factor 3	10		erythrocyte differentiation			TAS		J:110595 	
MGI:104637	Tgfbr3	transforming growth factor, beta receptor III	5		definitive erythrocyte differentiation			IMP		J:83727 	
MGI:98742	Thra	thyroid hormone receptor alpha	11		erythrocyte differentiation			IMP	MGI:1860442 	J:132706 	
MGI:1913404	Tmem14c	transmembrane protein 14C	13		erythrocyte differentiation			IMP	MGI:4351741 	J:212530 	
MGI:1355315	Tmod3	tropomodulin 3	9		erythrocyte development			IMP	MGI:4127953 	J:208725 	
MGI:1338757	Trim10	tripartite motif-containing 10	17		erythrocyte differentiation			IDA		J:54633 	
MGI:2684862	Trim58	tripartite motif-containing 58	11		positive regulation of erythrocyte enucleation			IMP		J:243477 	
MGI:1917276	Tspo2	translocator protein 2	17		enucleate erythrocyte differentiation			IMP		J:292525 	
MGI:1913913	Uba5	ubiquitin-like modifier activating enzyme 5	9		erythrocyte differentiation			IMP		J:289448 	
MGI:1914740	Ufl1	UFM1 specific ligase 1	4		erythrocyte differentiation			IMP		J:238253 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		primitive erythrocyte differentiation	happens in yolk sac		IMP	MGI:2383985 	J:96898 	
MGI:2444304	Vps13a	vacuolar protein sorting 13A	19		erythrocyte differentiation			IMP		J:346750 	
MGI:3605071	Ypel4	yippee like 4	2		negative regulation of erythrocyte differentiation	happens in reticulocyte,happens in cellular_component		IMP	MGI:4456736 	J:313842 	
MGI:1335091	Zbtb7a	zinc finger and BTB domain containing 7a	10		erythrocyte maturation			IMP		J:245247 	
MGI:1335091	Zbtb7a	zinc finger and BTB domain containing 7a	10		erythrocyte maturation			ISO	O95365 	J:164563 	
MGI:99180	Zfp36	zinc finger protein 36	7		negative regulation of erythrocyte differentiation			ISO	P26651 	J:164563 	
MGI:99180	Zfp36	zinc finger protein 36	7		negative regulation of erythrocyte differentiation			ISS	P26651 	J:342587 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		negative regulation of erythrocyte differentiation			ISO	Q07352 	J:164563 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		negative regulation of erythrocyte differentiation			ISS	Q07352 	J:342587 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		definitive erythrocyte differentiation			IMP	MGI:1857554 	J:47281 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		erythrocyte differentiation			IBA	MGI:1095400 PTN002658748 	J:161428 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		erythrocyte differentiation			IGI	MGI:95661 	J:41622 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		erythrocyte differentiation			IMP	MGI:2176182 MGI:4421436 	J:156475 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		primitive erythrocyte differentiation			IMP	MGI:1857554 	J:47281 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		regulation of definitive erythrocyte differentiation			IEA	ENSP00000326630 Q8IX07 	J:342605 	
MGI:1095400	Zfpm1	zinc finger protein, multitype 1	8		regulation of definitive erythrocyte differentiation			ISO	Q8IX07 	J:164563 	

